evento_id,timestamp_evento,timestamp_resolucion,ip_origen,ip_destino,puerto_destino,protocolo,tipo_evento,categoria,severidad,sistema_afectado,sistema_operativo,pais_origen,usuario,analista_id,bytes_enviados,bytes_recibidos,accion_tomada,tiempo_respuesta_min,falso_positivo,resuelto
EVT101224,2024-02-18 19:59:58,2024-02-18 20:54:58,103.115.212.9,10.8.39.134,53.0,TCP,Movimiento lateral,Post-explotación,Crítica,WS-FIN-014,Windows 11 Pro,India,user_lopez87,ANA010,2273724,955663,En revisión,55,FALSE,TRUE
EVT102819,2024-10-26 15:03:38,,134.57.115.20,10.3.26.195,8080.0,HTTPS,Phishing detectado,Ingeniería social,Media,SRV-WEB-02,Linux Ubuntu 22.04,Ucrania,user_perez51,ANA011,2042588,1931844,Alertado,411,FALSE,FALSE
EVT101729,2024-10-13 15:12:56,2024-10-13 15:40:56,134.240.54.155,10.10.43.56,25.0,HTTPS,DDoS,Disponibilidad,Alta,NAS-BACKUP-01,Synology DSM,China,user_lopez53,ANA008,1058592,1773549,En revisión,28,FALSE,TRUE
EVT100447,2024-01-06 15:40:43,2024-01-06 16:35:43,221.135.169.34,10.1.34.186,3389.0,FTP,Acceso no autorizado,Control de acceso,Crítica,SRV-MONITOR,Linux Ubuntu 22.04,Rusia,user_sanchez99,ANA014,1965933,171756,Cuarentenado,55,FALSE,TRUE
EVT104009,2024-11-07 15:06:28,2024-11-07 15:40:28,185.203.99.41,10.0.47.175,1433.0,HTTPS,Acceso no autorizado,Control de acceso,Alta,SRV-MAIL-01,Windows Server 2019,Alemania,user_hernandez33,ANA014,2211502,620111,Alertado,34,TRUE,TRUE
EVT102104,2024-06-13 12:13:43,2024-06-13 12:49:43,134.124.32.182,10.1.21.54,53.0,SMB,Fuerza bruta,Autenticación,Alta,WS-IT-031,macOS Ventura,EEUU,user_perez20,ANA011,4438854,50221,Cuarentenado,36,FALSE,TRUE
EVT103017,2024-05-09 6:33:12,2024-05-09 6:42:12,151.207.60.127,10.10.2.247,8080.0,HTTP,Malware detectado,Malware,Crítica,SRV-AD-REPLICA,Windows Server 2022,Holanda,user_martinez01,ANA014,873762,644026,Bloqueado,9,FALSE,TRUE
EVT103554,2024-03-26 4:35:20,2024-03-26 12:36:20,10.9.5.144,10.2.0.179,25.0,UDP,Login exitoso,Autenticación,Baja,WS-FIN-022,Windows 11 Pro,México,,ANA010,102358,323046,En revisión,481,FALSE,TRUE
EVT100008,2024-04-27 14:10:29,2024-04-27 14:27:29,66.2.197.225,10.9.41.83,443.0,SMB,Phishing detectado,Ingeniería social,Alta,SRV-MAIL-01,Windows Server 2019,Irán,user_hernandez35,ANA011,695159,533799,Cuarentenado,17,FALSE,TRUE
EVT101374,2024-02-20 2:19:24,,134.103.154.6,10.6.4.230,80.0,ICMP,Inyección SQL,Web,Alta,SRV-WEB-01,Linux Ubuntu 22.04,México,user_rodriguez95,ANA015,1904271,1224351,Bloqueado,145,FALSE,FALSE
EVT103044,2024-04-25 14:44:03,2024-04-25 15:09:03,203.25.240.85,10.9.48.183,1433.0,TCP,Inyección SQL,Web,crítica,SWITCH-DIST-01,Cisco IOS,Estados Unidos,user_hernandez51,ANA006,2996935,1980715,Bloqueado,25,FALSE,TRUE
EVT101545,2024-07-19 22:30:55,,195.215.43.243,10.6.41.107,445.0,HTTPS,Malware detectado,Malware,Alta,APP-CRM-01,Linux Ubuntu 20.04,Rusia,user_lopez87,ANA014,432307,1381245,Cuarentenado,47,FALSE,FALSE
EVT102654,2024-04-02 19:06:54,2024-04-02 20:02:54,221.79.175.144,10.1.37.30,25.0,DNS,Exfiltración de datos,Exfiltración,Crítica,SRV-MAIL-01,Windows Server 2019,Rumania,user_sanchez99,ANA005,3240467,428748,En revisión,56,FALSE,TRUE
EVT101046,03/14/2024 15:34,2024-03-15 4:23:25,167.204.198.48,10.9.28.81,1433.0,ICMP,XSS detectado,Web,Baja,ROUTER-CORE,Cisco IOS,México,user_sanchez99,ANA001,4387158,575143,Alertado,769,FALSE,TRUE
EVT103528,2024-05-11 5:59:47,,45.13.116.30,10.8.21.152,23.0,TCP,Login fallido,Autenticación,Media,WS-IT-031,macOS Ventura,China,user_hernandez35,ANA010,3759168,987212,En revisión,359,FALSE,FALSE
EVT104450,2024-11-03 11:05:41,,134.3.227.97,10.3.5.106,53.0,ICMP,Escaneo de red,Reconocimiento,Media,SRV-AD-REPLICA,Windows Server 2022,Irán,user_garcia27,ANA001,1013150,1762538,Cuarentenado,41,FALSE,FALSE
EVT100033,2024-06-24 13:38:54,2024-06-24 20:37:54,10.0.19.79,10.0.16.39,445.0,HTTPS,Phishing detectado,Ingeniería social,Media,WS-IT-031,macOS Ventura,México,user_perez71,ANA010,4994019,1785805,Bloqueado,419,FALSE,TRUE
EVT101539,2024-01-31 16:00:30,2024-01-31 16:18:30,10.9.48.189,10.5.19.59,53.0,SSH,Movimiento lateral,Post-explotación,Alta,APP-ERP-PROD,Windows Server 2019,México,user_gonzalez96,ANA002,2739474,834182,Alertado,18,FALSE,TRUE
EVT102886,2024-11-03 11:37:50,2024-11-03 12:13:50,78.85.25.75,10.2.22.160,443.0,SMB,Ransomware detectado,Malware,Crítica,FW-DMZ,Cisco ASA,Corea del Norte,user_martinez21,ANA005,3753501,1942731,Cuarentenado,36,FALSE,TRUE
EVT100969,2024-02-19 5:11:27,,203.238.249.170,10.4.13.168,21.0,RDP,Escaneo de puertos,Reconocimiento,Media,SWITCH-DIST-01,Cisco IOS,India,user_perez77,ANA009,1530786,658828,En revisión,113,FALSE,FALSE
EVT105078,2024-02-21 10:55:20,2024-02-21 11:46:20,195.124.169.91,10.6.28.189,3306.0,HTTPS,Movimiento lateral,Post-explotación,Crítica,FW-PERIMETRO,Fortinet FortiOS,Corea del Norte,user_gonzalez42,ANA005,812346,1629200,Cuarentenado,51,FALSE,TRUE
EVT100538,2024-01-11 14:39:02,2024-01-11 16:40:02,118.25.168.22,10.6.37.141,23.0,UDP,Fuerza bruta,Autenticación,Alta,FW-PERIMETRO,Fortinet FortiOS,México,user_lopez21,ANA010,3130308,883593,Cuarentenado,121,FALSE,TRUE
EVT101498,2024-11-18 17:11:06,2024-11-18 19:31:06,10.4.25.5,10.8.13.69,21.0,ICMP,Login exitoso,Autenticación,Media,SRV-MONITOR,Linux Ubuntu 22.04,México,user_hernandez13,ANA001,4060577,576677,Bloqueado,140,FALSE,TRUE
EVT103550,2024-11-11 16:23:54,,185.241.68.220,10.6.19.205,8443.0,SMB,Login exitoso,Autenticación,Baja,SRV-DB-DEV,Linux CentOS 8,Estados Unidos,user_martinez34,ANA006,530183,519681,Cuarentenado,122,FALSE,FALSE
EVT104082,2024-12-01 7:18:04,2024-12-01 9:15:04,151.184.73.73,10.1.16.149,23.0,ICMP,DDoS,Disponibilidad,Alta,SRV-MAIL-01,Windows Server 2019,Brasil,user_gonzalez13,ANA001,4813644,1879607,En revisión,117,FALSE,TRUE
EVT103400,2024-03-04 11:52:32,,134.23.69.180,10.5.0.229,3389.0,RDP,XSS detectado,Web,Media,SWITCH-DIST-01,Cisco IOS,México,user_martinez42,ANA006,4006305,1200355,Cuarentenado,317,FALSE,FALSE
EVT102268,2024-04-25 14:00:25,2024-04-25 18:59:25,185.32.220.198,10.3.36.40,445.0,HTTPS,Phishing detectado,Ingeniería social,Media,APP-CRM-01,Linux Ubuntu 20.04,Brasil,,ANA005,3188143,534868,Cuarentenado,299,FALSE,TRUE
EVT101988,2024-01-29 11:05:43,2024-01-29 23:00:43,167.119.107.217,10.2.48.182,21.0,HTTP,Login fallido,Autenticación,Baja,SRV-AD-PRIMARY,Windows Server 2022,Ucrania,user_garcia27,ANA007,2767989,1052883,Permitido,715,TRUE,TRUE
EVT102432,2024-11-30 14:52:14,2024-12-01 10:36:14,103.90.183.245,10.3.6.108,3389.0,ICMP,XSS detectado,Web,Baja,SRV-AD-REPLICA,Windows Server 2022,Holanda,user_perez47,ANA002,3276754,1202817,Bloqueado,1184,FALSE,TRUE
EVT104284,2024-12-09 14:43:29,,45.172.170.21,10.10.47.163,23.0,ICMP,Login fallido,Autenticación,Media,APP-ERP-PROD,Windows Server 2019,Estados Unidos,,ANA015,496938,884395,Cuarentenado,222,FALSE,FALSE
EVT103296,2024-12-18 12:58:49,2024-12-18 13:29:49,10.2.6.186,10.7.49.139,445.0,HTTPS,DDoS,Disponibilidad,Alta,WS-RH-005,Windows 10 Pro,México,user_perez71,ANA003,264902,1363655,Alertado,31,FALSE,TRUE
EVT100351,2024-01-19 12:25:58,2024-01-19 12:44:58,78.159.3.236,10.9.32.245,21.0,SMB,fuerza bruta,Control de acceso,Crítica,SRV-WEB-02,Linux Ubuntu 22.04,Irán,user_hernandez13,ANA008,4551777,1671626,Alertado,19,FALSE,TRUE
EVT100712,2024-02-17 11:36:25,2024-02-17 12:46:25,45.11.228.19,10.9.13.218,8443.0,SMB,DDoS,Disponibilidad,Alta,ROUTER-CORE,Cisco IOS,Irán,user_garcia27,ANA013,2350337,1745146,Alertado,70,FALSE,TRUE
EVT104506,2024-08-05 11:13:01,2024-08-05 12:02:01,195.255.254.68,10.4.48.48,443.0,SMB,MALWARE DETECTADO,Malware,Alta,WS-IT-031,macOS Ventura,China,,ANA003,2095674,660645,Cuarentenado,49,FALSE,TRUE
EVT102723,2024-09-13 17:03:03,2024-09-13 17:57:03,134.184.10.237,10.3.41.253,22.0,UDP,Movimiento lateral,POST-EXPLOTACIÓN,Crítica,WS-FIN-022,Windows 11 Pro,Corea del Norte,user_lopez21,ANA007,573225,1958290,Cuarentenado,54,FALSE,TRUE
EVT100576,2024-10-31 4:28:47,2024-10-31 5:53:47,221.140.26.76,10.5.1.171,3306.0,SMB,Phishing detectado,Ingeniería social,Alta,SRV-DB-DEV,Linux CentOS 8,Holanda,,ANA008,2250647,1958205,Cuarentenado,85,FALSE,TRUE
EVT100079,03/05/2024 18:33:20,2024-05-03 21:19:20,203.15.20.130,10.9.47.153,21.0,UDP,Exfiltración de datos,Exfiltración,Alta,NAS-BACKUP-01,Synology DSM,China,user_sanchez08,ANA009,204431,1015032,Alertado,166,TRUE,TRUE
EVT100439,2024-10-30 13:44:04,2024-10-31 4:20:04,213.84.205.245,10.1.10.69,443.0,TCP,Login exitoso,Autenticación,Baja,SRV-DB-PROD,Linux CentOS 8,México,,ANA012,634201,1867477,Alertado,876,FALSE,TRUE
EVT102153,2024-10-21 0:59:40,2024-10-21 1:21:40,151.76.249.247,10.3.9.22,3389.0,ICMP,Malware detectado,Malware,Crítica,SRV-AD-PRIMARY,Windows Server 2022,Holanda,user_hernandez11,ANA002,3311471,1002294,Cuarentenado,22,FALSE,TRUE
EVT102582,11-may-2024 15:27:14,2024-05-12 2:03:14,195.90.80.177,10.1.7.70,445.0,HTTPS,Escaneo de red,Reconocimiento,Baja,SRV-AD-REPLICA,Windows Server 2022,Corea del Norte,user_garcia47,ANA001,1919917,1731799,Alertado,636,FALSE,TRUE
EVT101897,2024-02-20 17:59:50,2024-02-20 18:02:50,118.101.62.45,10.9.4.25,25.0,SSH,Escalación de privilegios,Control de acceso,Crítica,WS-IT-031,macOS Ventura,Corea del Norte,user_perez45,ANA007,3853462,1347218,Bloqueado,3,FALSE,TRUE
EVT100896,2024-06-22 15:37:02,2024-06-22 22:39:02,45.88.45.170,10.8.24.172,3306.0,ICMP,Phishing detectado,Ingeniería social,Media,SRV-MAIL-01,Windows Server 2019,México,user_lopez87,ANA009,1744565,1391213,En revisión,422,FALSE,TRUE
EVT101074,2024-04-25 9:21:10,,134.161.86.177,10.8.38.163,445.0,ICMP,Ransomware detectado,Malware,Crítica,SRV-WEB-02,Linux Ubuntu 22.04,Ucrania,user_perez45,ANA001,9351,342272,Bloqueado,10,FALSE,FALSE
EVT100505,2024-07-14 16:27:58,2024-07-14 19:27:58,10.6.19.186,10.6.9.54,5432.0,TCP,Exfiltración de datos,Exfiltración,Alta,NAS-BACKUP-01,Synology DSM,México,user_hernandez33,ANA009,1353114,1456567,Alertado,180,FALSE,TRUE
EVT103139,2024-04-07 10:10:42,2024-04-07 10:51:42,103.1.184.88,10.10.7.236,53.0,SMB,Ransomware detectado,Malware,Crítica,WS-RH-005,Windows 10 Pro,Alemania,user_rodriguez82,ANA011,2239228,305270,En revisión,41,FALSE,TRUE
EVT104292,05/07/2024 17:26,,185.255.230.5,10.2.17.218,8443.0,UDP,XSS detectado,Web,Media,SRV-AD-REPLICA,Windows Server 2022,India,user_martinez72,ANA008,4672983,1449276,Alertado,156,FALSE,FALSE
EVT101175,2024-08-16 0:58:37,2024-08-16 1:13:37,118.93.194.243,10.0.36.120,8443.0,HTTP,Movimiento lateral,Post-explotación,Crítica,APP-CRM-01,Linux Ubuntu 20.04,China,user_gonzalez57,ANA005,3778084,1236297,Cuarentenado,15,FALSE,TRUE
EVT100371,2024-08-10 9:02:24,2024-08-10 11:03:24,10.0.41.42,10.8.26.33,22.0,SMB,XSS detectado,Web,baja,WS-FIN-014,Windows 11 Pro,México,user_gonzalez68,ANA007,4801006,1242994,Alertado,121,FALSE,TRUE
EVT100491,2024-12-19 9:37:42,2024-12-19 10:22:42,213.147.32.198,10.9.26.126,445.0,SMB,Ransomware detectado,Malware,Crítica,SRV-AD-PRIMARY,Windows Server 2022,India,user_lopez92,ANA006,4700768,1335792,cuarentenado,45,FALSE,TRUE
EVT104556,2024-03-19 10:16:54,2024-03-19 10:28:54,151.177.9.141,10.2.46.252,80.0,UDP,Movimiento lateral,Post-explotación,Crítica,WS-FIN-014,Windows 11 Pro,México,user_lopez87,ANA010,2337276,643008,bloqueado,12,FALSE,TRUE
EVT100381,05/04/2024 20:47:29,,185.227.51.55,10.5.31.100,23.0,SSH,Login exitoso,Autenticación,Baja,WS-IT-031,macOS Ventura,Brasil,,ANA001,3236045,930133,Alertado,1423,FALSE,FALSE
EVT101862,2024-02-01 11:16:10,2024-02-01 15:41:10,213.3.172.173,10.9.42.231,23.0,SSH,Escaneo de red,Reconocimiento,Media,WS-FIN-014,Windows 11 Pro,Rusia,,ANA009,3379449,302753,En revisión,265,FALSE,TRUE
EVT100598,2024-10-07 3:39:08,2024-10-07 4:13:08,118.6.217.245,10.9.23.136,3306.0,HTTPS,Ransomware detectado,Malware,Crítica,SRV-AD-REPLICA,Windows Server 2022,Corea del Norte,,ANA015,197356,1794709,Cuarentenado,34,FALSE,TRUE
EVT100730,2024-03-05 17:25:22,2024-03-05 18:42:22,213.163.137.55,10.8.8.92,53.0,SSH,Acceso no autorizado,Control de acceso,Alta,APP-ERP-PROD,Windows Server 2019,México,user_perez47,ANA015,225180,1015529,Cuarentenado,77,FALSE,TRUE
EVT100393,2024-08-31 11:13:05,2024-08-31 20:16:05,203.246.3.173,10.2.19.39,5432.0,RDP,Escaneo de red,Reconocimiento,Baja,SRV-DB-DEV,Linux CentOS 8,China,user_garcia52,ANA002,4221508,1670075,Permitido,543,TRUE,TRUE
EVT104424,2024-09-19 7:05:34,,221.73.58.120,10.7.4.250,80.0,HTTP,Login fallido,Autenticación,Baja,SRV-AD-PRIMARY,Windows Server 2022,Brasil,user_gonzalez13,ANA001,4309627,286445,Bloqueado,1302,FALSE,FALSE
EVT103966,2024-08-30 20:21:05,2024-08-31 4:08:05,118.209.233.121,10.9.6.10,1433.0,SSH,Escaneo de puertos,Reconocimiento,Media,SRV-VPNGATEWAY,Linux Debian 11,India,user_sanchez98,ANA008,3430081,873937,Alertado,467,FALSE,TRUE
EVT101117,2024-04-09 8:14:16,2024-04-09 8:50:16,78.46.75.52,10.8.19.112,21.0,DNS,Fuerza bruta,Autenticación,Crítica,SRV-VPNGATEWAY,Linux Debian 11,México,user_gonzalez42,ANA006,881827,1220141,Alertado,36,FALSE,TRUE
EVT103749,2024-10-12 12:39:55,2024-10-12 12:55:55,45.173.154.54,10.7.35.205,80.0,HTTPS,Ransomware detectado,Malware,Crítica,SRV-AD-REPLICA,Windows Server 2022,Holanda,user_perez20,ANA003,1401373,417805,En revisión,16,FALSE,TRUE
EVT104772,2024-02-08 14:11:15,2024-02-08 15:13:15,103.143.31.63,10.1.15.80,5432.0,HTTP,Acceso no autorizado,Control de acceso,Alta,SRV-MONITOR,Linux Ubuntu 22.04,China,user_martinez08,ANA008,75202,559495,Alertado,62,FALSE,TRUE
EVT102954,2024-01-28 18:13:45,2024-01-28 18:19:45,151.139.219.238,10.1.5.216,80.0,HTTPS,Exfiltración de datos,Exfiltración,Crítica,SRV-DB-PROD,Linux CentOS 8,México,user_perez51,ANA012,2043936,1327420,Bloqueado,6,FALSE,TRUE
EVT101867,2024-12-18 14:04:15,2024-12-19 5:52:15,66.94.178.72,10.8.5.97,80.0,HTTPS,XSS detectado,Web,Baja,SRV-WEB-01,Linux Ubuntu 22.04,Holanda,,ANA007,3126498,1190093,Alertado,948,FALSE,TRUE
EVT101822,2024-09-11 10:27:32,,45.68.16.86,10.2.49.252,3389.0,HTTPS,Login fallido,Autenticación,Baja,SWITCH-DIST-01,Cisco IOS,Corea del Norte,user_rodriguez82,ANA010,3691186,1546227,Alertado,1133,FALSE,FALSE
EVT100679,2024-12-09 12:05:43,2024-12-09 14:49:43,195.162.205.16,10.8.24.233,25.0,RDP,Acceso no autorizado,control de acceso,Alta,ROUTER-CORE,Cisco IOS,Ucrania,user_garcia69,ANA002,16696,1109563,Alertado,164,FALSE,TRUE
EVT104140,2024-05-10 11:06:44,2024-05-10 14:52:44,118.105.105.141,10.9.26.79,8443.0,HTTP,Escaneo de puertos,Reconocimiento,Baja,NAS-BACKUP-01,Synology DSM,Ucrania,user_garcia63,ANA010,3764918,1861666,Permitido,226,TRUE,TRUE
EVT101600,2024-11-04 0:44:23,,213.131.238.235,10.1.7.39,3389.0,DNS,Phishing detectado,Ingeniería social,Media,SWITCH-DIST-01,Cisco IOS,Rumania,user_hernandez19,ANA004,3142156,1265204,Alertado,111,FALSE,FALSE
EVT104631,2024-09-26 9:42:23,,118.26.58.194,10.5.5.157,22.0,HTTPS,Escaneo de red,Reconocimiento,Media,APP-ERP-PROD,Windows Server 2019,MÉXICO,,ANA004,4070763,1311564,Bloqueado,375,FALSE,FALSE
EVT105070,2024-04-26 18:36:06,,221.35.23.57,10.6.18.44,1433.0,HTTPS,Phishing detectado,Ingeniería social,Media,SRV-AD-REPLICA,Windows Server 2022,Estados Unidos,user_martinez08,ANA005,4070281,1061252,Bloqueado,246,FALSE,FALSE
EVT100373,2024-01-31 11:39:21,2024-01-31 12:08:21,213.90.80.92,10.5.2.70,443.0,TCP,DDoS,DISPONIBILIDAD,Alta,SRV-WEB-02,Linux Ubuntu 22.04,CHINA,user_perez45,ANA014,2491150,1672129,Alertado,29,FALSE,TRUE
EVT104862,2024-02-26 18:00:43,2024-02-26 20:51:43,10.10.18.96,10.0.18.167,22.0,DNS,ddos,Web,Alta,SWITCH-DIST-01,Cisco IOS,México,user_gonzalez83,ANA015,1772043,1109252,En revisión,171,FALSE,TRUE
EVT101504,2024-02-21 17:29:07,2024-02-21 18:14:07,10.0.16.223,10.3.16.93,1433.0,SMB,DDoS,Disponibilidad,Crítica,WS-IT-031,macOS Ventura,México,user_garcia88,ANA012,4522577,1241177,Alertado,45,TRUE,TRUE
EVT104340,2024-12-03 13:25:53,2024-12-03 14:53:53,66.5.196.164,10.1.29.78,21.0,DNS,Inyección SQL,Web,Alta,APP-ERP-PROD,Windows Server 2019,Ucrania,user_garcia51,ANA005,4854198,104032,Bloqueado,88,FALSE,TRUE
EVT101334,2024-03-27 18:51:53,2024-03-27 20:48:53,195.72.111.66,10.10.21.66,22.0,ICMP,Fuerza bruta,Autenticación,Alta,FW-DMZ,Cisco ASA,México,,ANA002,688045,56301,Bloqueado,117,FALSE,TRUE
EVT104949,2024-08-14 18:18:51,2024-08-14 20:38:51,221.8.95.142,10.5.40.9,21.0,SSH,DDoS,Disponibilidad,Alta,WS-IT-031,macOS Ventura,Ucrania,user_martinez92,ANA008,999319,1837675,Permitido,140,TRUE,TRUE
EVT101509,2024-09-28 18:08:54,2024-09-28 20:52:54,10.1.8.64,10.2.17.44,3389.0,ICMP,Inyección SQL,Web,Alta,FW-DMZ,Cisco ASA,México,user_ramirez52,ANA011,2541537,133135,Cuarentenado,164,FALSE,TRUE
EVT105376,2024-03-11 15:05:55,2024-03-11 16:51:55,213.120.43.238,10.6.14.131,21.0,UDP,fuerza bruta,Autenticación,Alta,WS-FIN-022,Windows 11 Pro,México,user_perez38,ANA004,3965259,1921414,Bloqueado,106,FALSE,TRUE
EVT100346,2024-02-24 20:26:04,2024-02-25 2:34:04,185.220.54.110,10.6.7.78,21.0,ICMP,Escaneo de red,Reconocimiento,Baja,SRV-MAIL-01,Windows Server 2019,Brasil,,ANA002,904080,138582,Alertado,3102,FALSE,TRUE
EVT101057,2024-04-02 15:18:04,,10.3.12.10,10.1.43.42,1433.0,ICMP,Malware detectado,Malware,Alta,APP-ERP-PROD,Windows Server 2019,México,user_sanchez99,ANA007,4984697,203899,Cuarentenado,170,FALSE,FALSE
EVT100333,2024-08-11 6:12:50,2024-08-11 6:49:50,151.225.174.40,10.8.37.13,23.0,RDP,Ransomware detectado,Malware,Grave,SRV-WEB-01,Linux Ubuntu 22.04,Rumania,user_perez86,ANA013,4611364,1702631,Bloqueado,37,FALSE,TRUE
EVT102006,2024-01-20 2:45:21,,10.5.20.218,10.1.47.155,3389.0,DNS,Phishing detectado,Ingeniería social,Media,ROUTER-CORE,Cisco IOS,México,user_martinez92,ANA007,1932896,126574,En revisión,81,FALSE,FALSE
EVT104805,2024-11-07 16:53:22,2024-11-07 18:53:22,151.84.93.135,10.5.44.248,443.0,HTTP,Fuerza bruta,Autenticación,Alta,SRV-MONITOR,Linux Ubuntu 22.04,Alemania,user_martinez72,ANA004,2637811,1445109,Alertado,120,TRUE,TRUE
EVT100422,2024-10-08 14:56:35,2024-10-09 0:51:35,185.164.69.90,10.2.40.150,22.0,FTP,Login exitoso,Autenticación,Baja,WS-FIN-022,Windows 11 Pro,Ucrania,user_sanchez99,ANA010,3969619,997547,Permitido,595,TRUE,TRUE
EVT102836,2024-12-01 11:11:25,2024-12-01 13:22:25,203.164.123.243,10.8.20.191,445.0,ICMP,Inyección SQL,Web,Alta,SRV-WEB-01,Linux Ubuntu 22.04,Ucrania,user_martinez92,ANA009,2391691,408352,Bloqueado,131,FALSE,TRUE
